Name,Agent,Usage,Rounds Played,Rating,ACS,K:D,ADR,KAST,KPR,APR,First Kills Per Round,First Deaths Per Round,Kills,Deaths,Assists,First Kills,First Deaths
MOLSI,viper,(1) 8%,30,0.95,184.0,1.00,124.5,63%,0.60,0.23,0.07,0.03,18,18,7,2,1
Alfajer,killjoy,(5) 36%,97,1.04,211.2,1.16,142.1,69%,0.81,0.11,0.07,0.09,79,68,11,7,9
Alfajer,raze,(4) 29%,103,1.10,233.5,1.24,152.3,72%,0.80,0.15,0.17,0.10,82,66,15,17,10
Alfajer,iso,(3) 21%,64,0.71,179.3,0.84,127.5,73%,0.66,0.20,0.08,0.13,42,50,13,5,8
Alfajer,cypher,(1) 7%,24,0.86,169.0,0.93,124.5,63%,0.58,0.21,0.08,0.04,14,15,5,2,1
Alfajer,vyse,(1) 7%,23,1.02,219.0,1.00,148.5,65%,0.78,0.17,0.22,0.13,18,18,4,5,3
Boaster,omen,(9) 64%,184,0.90,151.2,0.88,97.7,68%,0.53,0.38,0.07,0.08,98,112,70,13,14
Boaster,astra,(4) 29%,103,1.03,171.5,1.05,116.1,79%,0.61,0.39,0.08,0.09,63,60,40,8,9
Boaster,brimstone,(1) 7%,24,1.00,150.0,0.85,96.4,63%,0.46,0.38,0.13,0.04,11,13,9,3,1
benjyfishy,cypher,(7) 47%,132,0.97,182.1,1.05,116.4,78%,0.68,0.19,0.08,0.05,90,86,25,10,7
benjyfishy,vyse,(4) 27%,82,0.89,172.8,0.93,121.7,71%,0.62,0.28,0.06,0.06,51,55,23,5,5
benjyfishy,viper,(2) 13%,45,0.84,170.5,1.00,119.8,71%,0.64,0.22,0.07,0.09,29,29,10,3,4
benjyfishy,killjoy,(1) 7%,17,0.41,88.0,0.33,58.0,59%,0.29,0.24,0.06,0.18,5,15,4,1,3
benjyfishy,tejo,(1) 7%,17,0.88,201.0,0.80,134.6,65%,0.71,0.12,0.06,0.24,12,15,2,1,4
Derke,raze,(12) 46%,267,1.12,253.1,1.15,162.6,70%,0.87,0.18,0.21,0.20,231,201,47,56,54
Derke,yoru,(9) 35%,191,0.88,192.6,0.88,125.2,66%,0.64,0.23,0.22,0.21,123,140,44,42,40
Derke,jett,(3) 12%,67,1.21,247.0,1.23,164.2,58%,0.88,0.13,0.24,0.28,59,48,9,16,19
Derke,neon,(2) 8%,41,0.99,249.5,1.00,154.2,68%,0.85,0.12,0.17,0.24,35,35,5,7,10
