Map,Team,Player,Agent,ACS,Kills,Deaths,Assists,FirstKills,Winner,MapScore,Date,MatchID,MatchURL
Haven,TYL,hfmi0dzjc9z7,sova,145,9,17,5,,False,6‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
Haven,TYL,5CM,neon,143,10,14,2,,False,6‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
Haven,EDG,ZmjjKK,jett,322,24,12,3,,True,6‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
Haven,EDG,Smoggy,omen,284,21,13,4,,True,6‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
Haven,EDG,CHICHOO,cypher,239,17,11,5,,True,6‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
Haven,EDG,nobody,sova,169,12,8,7,,True,6‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
Haven,EDG,S1Mon,breach,78,4,11,15,,True,6‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
Pearl,JDG,stew,yoru,247,19,15,5,,False,9‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
Pearl,JDG,Babyblue,tejo,242,19,21,6,,False,9‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
Pearl,JDG,Z1yan,vyse,159,12,16,5,,False,9‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
Pearl,JDG,jkuro,astra,135,11,16,9,,False,9‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
Pearl,JDG,MrCANI,fade,134,11,17,3,,False,9‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
Pearl,WOL,Juicy,yoru,317,26,17,6,,True,9‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
Pearl,WOL,Yuicaw,chamber,270,22,15,5,,True,9‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
Pearl,WOL,Spring,astra,216,18,11,17,,True,9‑13,2025-03-16,5,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
